soil,hzn,trat,method,rep,dp_mm,log10_dp,max_likeli,p2_5,p97_5
BJS,HZN1,REM,CLASSIC,A,0.109922,-0.958916,0.0297232,0.0201408,0.0413587
BJS,HZN1,REM,CLASSIC,A,0.112644,-0.948293,0.0303147,0.0205665,0.0421361
BJS,HZN1,REM,CLASSIC,A,0.115433,-0.937669,0.0309117,0.0209969,0.0429193
BJS,HZN1,REM,CLASSIC,A,0.118292,-0.927046,0.0315141,0.021432,0.0437081
BJS,HZN1,REM,CLASSIC,A,0.121221,-0.916423,0.0321219,0.0218718,0.0445026
BJS,HZN1,REM,CLASSIC,A,0.124223,-0.905799,0.0327352,0.0223163,0.0453027
BJS,HZN1,REM,CLASSIC,A,0.127299,-0.895176,0.0333538,0.0227655,0.0461084
BJS,HZN1,REM,CLASSIC,A,0.130451,-0.884553,0.0339779,0.0232195,0.0469196
BJS,HZN1,REM,CLASSIC,A,0.133681,-0.87393,0.0346073,0.0236783,0.0477362
BJS,HZN1,REM,CLASSIC,A,0.136992,-0.863306,0.0352421,0.0241418,0.0485583
BJS,HZN1,REM,CLASSIC,A,0.140384,-0.852683,0.0358823,0.0246101,0.0493858
BJS,HZN1,REM,CLASSIC,A,0.14386,-0.84206,0.0365278,0.0250831,0.0502186
BJS,HZN1,REM,CLASSIC,A,0.147422,-0.831436,0.0371787,0.0255609,0.051056699999999997
BJS,HZN1,REM,CLASSIC,A,0.151073,-0.820813,0.0378349,0.0260435,0.0519001
BJS,HZN1,REM,CLASSIC,A,0.154814,-0.81019,0.0384964,0.026531,0.0527486
BJS,HZN1,REM,CLASSIC,A,0.158648,-0.799566,0.0391632,0.0270232,0.0536024
BJS,HZN1,REM,CLASSIC,A,0.162576,-0.788943,0.0398353,0.0275202,0.0544612
BJS,HZN1,REM,CLASSIC,A,0.166602,-0.77832,0.0405127,0.028022,0.0553252
BJS,HZN1,REM,CLASSIC,A,0.170728,-0.767696,0.0411954,0.0285287,0.0561942
BJS,HZN1,REM,CLASSIC,A,0.174955,-0.757073,0.0418834,0.0290402,0.0570682
BJS,HZN1,REM,CLASSIC,A,0.179288,-0.74645,0.0425765,0.0295565,0.0579471
BJS,HZN1,REM,CLASSIC,A,0.183727,-0.735827,0.043275,0.0300777,0.0588309
BJS,HZN1,REM,CLASSIC,A,0.188277,-0.725203,0.0439786,0.0306038,0.0597196
BJS,HZN1,REM,CLASSIC,A,0.192939,-0.71458,0.0446875,0.0311347,0.0606132
BJS,HZN1,REM,CLASSIC,A,0.197717,-0.703957,0.0454016,0.0316705,0.0615115
BJS,HZN1,REM,CLASSIC,A,0.202613,-0.693333,0.0461209,0.0322111,0.0624145
BJS,HZN1,REM,CLASSIC,A,0.20763,-0.68271,0.0468453,0.0327567,0.0633222
BJS,HZN1,REM,CLASSIC,A,0.212771,-0.672087,0.047575,0.0333071,0.0642346
BJS,HZN1,REM,CLASSIC,A,0.21804,-0.661463,0.0483098,0.0338625,0.0651516
BJS,HZN1,REM,CLASSIC,A,0.223439,-0.65084,0.0490497,0.0344227,0.0660731
BJS,HZN1,REM,CLASSIC,A,0.228972,-0.640217,0.0497948,0.0349879,0.0669991
BJS,HZN1,REM,CLASSIC,A,0.234642,-0.629593,0.050545,0.035558,0.0679297
BJS,HZN1,REM,CLASSIC,A,0.240453,-0.61897,0.0513004,0.036133,0.0688646
BJS,HZN1,REM,CLASSIC,A,0.246407,-0.608347,0.0520608,0.036713,0.069804
BJS,HZN1,REM,CLASSIC,A,0.252509,-0.597724,0.0528263,0.0372979,0.0707477
BJS,HZN1,REM,CLASSIC,A,0.258762,-0.5871,0.053597,0.0378878,0.0716956
BJS,HZN1,REM,CLASSIC,A,0.265169,-0.576477,0.0543727,0.0384826,0.0726479
BJS,HZN1,REM,CLASSIC,A,0.271735,-0.565854,0.0551534,0.0390825,0.0736043
BJS,HZN1,REM,CLASSIC,A,0.278464,-0.55523,0.0559392,0.0396873,0.074565
BJS,HZN1,REM,CLASSIC,A,0.28536,-0.544607,0.0567301,0.040297,0.0755297
BJS,HZN1,REM,CLASSIC,A,0.292426,-0.533984,0.057526,0.0409118,0.0764986
BJS,HZN1,REM,CLASSIC,A,0.299667,-0.52336,0.0583268,0.0415316,0.0774714
BJS,HZN1,REM,CLASSIC,A,0.307088,-0.512737,0.0591327,0.0421564,0.0784483
BJS,HZN1,REM,CLASSIC,A,0.314692,-0.502114,0.0599436,0.0427862,0.0794291
BJS,HZN1,REM,CLASSIC,A,0.322485,-0.49149,0.0607595,0.043421,0.0804139
BJS,HZN1,REM,CLASSIC,A,0.330471,-0.480867,0.0615804,0.0440609,0.0814024
BJS,HZN1,REM,CLASSIC,A,0.338654,-0.470244,0.0624062,0.0447058,0.0823949
BJS,HZN1,REM,CLASSIC,A,0.34704,-0.459621,0.063237,0.0453558,0.0833911
BJS,HZN1,REM,CLASSIC,A,0.355634,-0.448997,0.0640727,0.0460108,0.084391
BJS,HZN1,REM,CLASSIC,A,0.36444,-0.438374,0.0649133,0.0466708,0.0853946
BJS,HZN1,REM,CLASSIC,A,0.373465,-0.427751,0.0657589,0.047336,0.0864019
BJS,HZN1,REM,CLASSIC,A,0.382713,-0.417127,0.0666093,0.0480062,0.0874128
BJS,HZN1,REM,CLASSIC,A,0.39219,-0.406504,0.0674647,0.0486815,0.0884272
BJS,HZN1,REM,CLASSIC,A,0.401901,-0.395881,0.0683249,0.0493619,0.0894452
BJS,HZN1,REM,CLASSIC,A,0.411853,-0.385257,0.06919,0.0500474,0.0904666
BJS,HZN1,REM,CLASSIC,A,0.422052,-0.374634,0.07006,0.0507381,0.0914915
BJS,HZN1,REM,CLASSIC,A,0.432503,-0.364011,0.0709348,0.0514338,0.0925197
BJS,HZN1,REM,CLASSIC,A,0.443213,-0.353387,0.0718145,0.0521347,0.0935513
BJS,HZN1,REM,CLASSIC,A,0.454188,-0.342764,0.072699,0.0528407,0.0945862
BJS,HZN1,REM,CLASSIC,A,0.465435,-0.332141,0.0735883,0.0535518,0.0956244
BJS,HZN1,REM,CLASSIC,A,0.476961,-0.321518,0.0744824,0.0542681,0.0966657
BJS,HZN1,REM,CLASSIC,A,0.488771,-0.310894,0.0753813,0.0549895,0.0977103
BJS,HZN1,REM,CLASSIC,A,0.500875,-0.300271,0.076285,0.0557161,0.0987579
BJS,HZN1,REM,CLASSIC,A,0.513278,-0.289648,0.0771935,0.0564479,0.0998087
BJS,HZN1,REM,CLASSIC,A,0.525988,-0.279024,0.0781067,0.0571848,0.100862
BJS,HZN1,REM,CLASSIC,A,0.539013,-0.268401,0.0790247,0.057927,0.101919
BJS,HZN1,REM,CLASSIC,A,0.55236,-0.257778,0.0799474,0.0586743,0.102979
BJS,HZN1,REM,CLASSIC,A,0.566038,-0.247154,0.0808748,0.0594268,0.104042
BJS,HZN1,REM,CLASSIC,A,0.580055,-0.236531,0.081807,0.0601846,0.105107
BJS,HZN1,REM,CLASSIC,A,0.594418,-0.225908,0.0827438,0.0609476,0.106176
BJS,HZN1,REM,CLASSIC,A,0.609138,-0.215285,0.0836854,0.0617157,0.107247
BJS,HZN1,REM,CLASSIC,A,0.624222,-0.204661,0.0846317,0.0624892,0.108321
BJS,HZN1,REM,CLASSIC,A,0.639679,-0.194038,0.0855826,0.0632678,0.109397
BJS,HZN1,REM,CLASSIC,A,0.655519,-0.183415,0.0865382,0.0640517,0.110476
BJS,HZN1,REM,CLASSIC,A,0.671752,-0.172791,0.0874984,0.0648409,0.111558
BJS,HZN1,REM,CLASSIC,A,0.688386,-0.162168,0.0884633,0.0656353,0.112642
BJS,HZN1,REM,CLASSIC,A,0.705432,-0.151545,0.0894328,0.066435,0.113729
BJS,HZN1,REM,CLASSIC,A,0.722901,-0.140921,0.0904069,0.06724,0.114819
BJS,HZN1,REM,CLASSIC,A,0.740802,-0.130298,0.0913856,0.0680503,0.115911
BJS,HZN1,REM,CLASSIC,A,0.759146,-0.119675,0.0923689,0.0688658,0.117005
BJS,HZN1,REM,CLASSIC,A,0.777944,-0.109051,0.0933568,0.0696867,0.118101
BJS,HZN1,REM,CLASSIC,A,0.797208,-0.0984281,0.0943493,0.0705128,0.1192
BJS,HZN1,REM,CLASSIC,A,0.816949,-0.0878048,0.0953463,0.0713443,0.120301
BJS,HZN1,REM,CLASSIC,A,0.837179,-0.0771815,0.0963479,0.0721811,0.121405
BJS,HZN1,REM,CLASSIC,A,0.85791,-0.0665582,0.097354,0.0730233,0.12251
BJS,HZN1,REM,CLASSIC,A,0.879154,-0.0559349,0.0983647,0.0738708,0.123618
BJS,HZN1,REM,CLASSIC,A,0.900924,-0.0453116,0.0993798,0.0747236,0.124727
BJS,HZN1,REM,CLASSIC,A,0.923234,-0.0346883,0.1004,0.0755818,0.125839
